Performance.KDTMean;Performance.MAMean;Performance.MVMean;Performance.TBCMean;Performance.DDCMean;Performance.DMSMean;Performance.AEDMean;Performance.ADMSLMean;FatigueLevel;Performance.Task
0,001085818;0,359813981;0,013954781;0,099205047;0,164995317;-0,002664456;0,011993208;-0,12882355;0;0
-0,002458443;-0,00219322;-0,001537643;0,342945389;0,025696177;-0,031619258;-0,072262327;-0,078832313;0;0
0,000557542;-0,132571522;-0,041032573;0,018372659;0,71196028;-0,168074651;0,07750389;-0,31570127;0;-1
0,002186559;0,031077892;0,0359264;-0,100597523;-0,008544334;-0,004933608;-0,020878154;0;1;-1
0,000936438;-0,111209614;-0,003182119;0,021450955;0,034813808;-0,00743227;0,001159531;-0,139972912;0;0
1;-0,183942445;-0,158851839;0,022459353;0,048843424;-0,153514081;-0,012650164;-0,253346742;0;-1
0,020410239;-0,033252567;-0,000730914;-0,001698063;-0,042314195;0,000653842;0,034627598;0,036980921;0;0
0,001169396;0,078418418;0,003353499;0,005020835;-0,019841242;0,002786082;0,002596921;0,127037304;0;0
-0,000217165;-0,174387461;-0,025018839;0,004402405;-0,00668419;0,028754019;-0,020690669;0,240662134;0;0
0,01230328;0,058413053;0,044601974;0,009238167;0,381631445;0,067224063;-0,006605475;0,293082879;0;0
-0,016452771;-0,008627067;-0,013937097;0,01460457;0,036485837;-0,001712988;-0,006806952;0,067400587;1;-1
-0,0004933;0,023330336;0,035243134;-0,101998923;-0,003562998;-0,003606982;0,009471581;0,027656452;0;-1
0,092978519;0,288661804;0,206627916;0,140933185;-0,009678647;0,04124386;-0,011287777;0,809578761;0;0
-0,000640856;0,330128998;0,009248458;0,067302364;-0,046706545;0,019609485;0,035232866;0,279128743;0;1
0,006039585;-0,053395374;-0,042458039;0,034309111;-0,003295083;0,007529286;0,004571692;0,048407256;1;-1
0,076084921;-0,010412244;0,00327033;0,000842055;-0,001225181;-0,017134254;0,010854718;-0,127390026;0;0
