ID;A_LECTIVO;CURSO_SIGLA;CODIGO;NOME;PERIODO;ESTADO;RESULTADO;ESTADO_RESULTADO;ANO_CURRICULAR
1;2008;MI:ERS;B303;Análise in Silico de Genomas, Transcriptomas e Proteomas;1S;V;14;V;4
2;2008;MI:ERS;B303;Análise in Silico de Genomas, Transcriptomas e Proteomas;1S;V;12;V;4
3;2008;MI:ERS;B303;Análise in Silico de Genomas, Transcriptomas e Proteomas;1S;V;EX;N;4
4;2008;MI:ERS;B303;Análise in Silico de Genomas, Transcriptomas e Proteomas;1S;V;EX;N;4
5;2008;MI:ERS;B303;Análise in Silico de Genomas, Transcriptomas e Proteomas;1S;V;EX;N;4
6;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
6;2008;MI:ERS;CC111;Introdução à Programação;1S;V;R;N;1
7;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
8;2008;MI:ERS;CC111;Introdução à Programação;1S;V;R;N;1
9;2008;MI:ERS;CC111;Introdução à Programação;1S;V;10;V;1
10;2008;MI:ERS;CC111;Introdução à Programação;1S;V;13;V;1
11;2008;MI:ERS;CC111;Introdução à Programação;1S;V;10;V;1
12;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
13;2008;MI:ERS;CC111;Introdução à Programação;1S;V;R;N;1
14;2008;MI:ERS;CC111;Introdução à Programação;1S;V;10;V;1
15;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
15;2008;MI:ERS;CC111;Introdução à Programação;1S;V;R;N;1
16;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
17;2008;MI:ERS;CC111;Introdução à Programação;1S;V;R;N;1
18;2008;MI:ERS;CC111;Introdução à Programação;1S;V;11;V;1
19;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
20;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
21;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
21;2008;MI:ERS;CC111;Introdução à Programação;1S;V;R;N;1
22;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
23;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
24;2008;MI:ERS;CC111;Introdução à Programação;1S;V;10;V;1
25;2008;MI:ERS;CC111;Introdução à Programação;1S;V;R;N;1
26;2008;MI:ERS;CC111;Introdução à Programação;1S;V;R;N;1
27;2008;MI:ERS;CC111;Introdução à Programação;1S;V;R;N;1
28;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
29;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
30;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
31;2008;MI:ERS;CC111;Introdução à Programação;1S;V;10;N;1
31;2008;MI:ERS;CC111;Introdução à Programação;1S;V;11;V;1
32;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
33;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
34;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
35;2008;MI:ERS;CC111;Introdução à Programação;1S;V;EX;N;1
36;2008;MI:ERS;CC111;Introdução à Programação;1S;V;10;V;1
37;2008;MI:ERS;CC111;Introdução à Programação;1S;V;12;V;1
38;2008;MI:ERS;CC111;Introdução à Programação;1S;V;F;N;1
39;2008;MI:ERS;CC111;Introdução à Programação;1S;V;14;V;1
40;2008;MI:ERS;CC111;Introdução à Programação;1S;V;11;V;1
40;2008;MI:ERS;CC111;Introdução à Programação;1S;V;R;N;1
41;2008;MI:ERS;CC111;Introdução à Programação;1S;V;10;N;1
41;2008;MI:ERS;CC111;Introdução à Programação;1S;V;15;V;1
42;2008;MI:ERS;CC111;Introdução à Programação;1S;V;10;V;1
43;2008;MI:ERS;CC111;Introdução à Programação;1S;V;R;N;1
44;2008;MI:ERS;CC111;Introdução à Programação;1S;V;15;V;1
