@relation AirQualityUCI-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Date {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute Time {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute CO(GT) numeric
@attribute PT08S1(CO) numeric
@attribute C6H6(GT) numeric
@attribute PT08S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08S4(NO2) numeric
@attribute PT08S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
3,18,0.211864,0.511845,0.185535,0.362097,0.111036,0.310885,0.328402,0.51304,0.454822,0.333333,0.499371,0.7578
3,19,0.161017,0.463029,0.146226,0.312398,0.068382,0.360864,0.266272,0.453237,0.326238,0.326882,0.484277,0.7255
3,20,0.177966,0.541996,0.139937,0.303659,0.087339,0.346463,0.331361,0.451439,0.370547,0.296774,0.563522,0.7502
3,21,0.177966,0.523331,0.143082,0.308575,0.115098,0.326133,0.35503,0.464478,0.426586,0.277419,0.638994,0.7867
3,22,0.127119,0.448672,0.100629,0.247406,0.087339,0.373994,0.337278,0.422212,0.386186,0.28172,0.633962,0.7888
3,23,0.09322,0.394831,0.072327,0.200437,0.058903,0.429903,0.278107,0.378597,0.316247,0.28172,0.628931,0.7848
3,0,0.09322,0.386217,0.055031,0.167668,0.040623,0.482846,0.221893,0.351619,0.222415,0.283871,0.598742,0.7603
3,1,0.076271,0.351041,0.050314,0.157837,0.040623,0.479034,0.218935,0.351619,0.221112,0.270968,0.638994,0.7702
3,2,0.067797,0.32089,0.034591,0.12343,0.029113,0.532402,0.171598,0.325989,0.173328,0.270968,0.63522,0.7648
3,3,0.042373,0.260589,0.025157,0.097215,?,0.585769,?,0.307554,0.121633,0.262366,0.641509,0.7517
3,4,?,0.261307,0.018868,0.078646,0.012864,0.63363,0.094675,0.290468,0.097307,0.258065,0.645283,0.7465
3,5,0.050847,0.30079,0.015723,0.070453,0.009479,0.675985,0.076923,0.283723,0.087315,0.277419,0.591195,0.7366
3,6,0.050847,0.290739,0.023585,0.092845,0.021666,0.599746,0.136095,0.301259,0.109036,0.266667,0.615094,0.7353
3,7,0.084746,0.356784,0.048742,0.155106,0.064997,0.494706,0.236686,0.354317,0.221112,0.260215,0.633962,0.7417
3,8,0.161017,0.492462,0.124214,0.282359,0.116452,0.344769,0.325444,0.434353,0.382711,0.273118,0.606289,0.7408
3,9,0.177966,0.505384,0.147799,0.315128,0.085985,0.320627,0.292899,0.464029,0.350565,0.266667,0.646541,0.7691
3,10,0.135593,0.420675,0.097484,0.24249,0.074475,0.3795,0.284024,0.402428,0.277585,0.273118,0.618868,0.7552
3,11,0.118644,0.38191,0.077044,0.206991,0.062965,0.426091,0.266272,0.364658,0.195482,0.266667,0.612579,0.7352
3,12,0.127119,0.422828,0.080189,0.213545,0.069059,0.414655,0.275148,0.382194,0.192441,0.245161,0.724528,0.7951
3,13,0.152542,0.458722,0.113208,0.265429,0.097495,0.355781,0.325444,0.443345,0.251086,0.219355,0.845283,0.8393
3,14,0.237288,0.519742,0.179245,0.355543,0.138795,0.279966,0.372781,0.530126,0.354474,0.212903,0.904403,0.8736
3,15,0.177966,0.475951,0.136792,0.300382,0.123223,0.321898,0.366864,0.492806,0.314944,0.219355,0.88805,0.8778
3,16,0.177966,0.463029,0.128931,0.288913,0.129316,0.330792,0.381657,0.467626,0.319722,0.249462,0.779874,0.8569
3,17,0.237288,0.528356,0.174528,0.347897,0.163169,0.290555,0.393491,0.52518,0.383579,0.251613,0.734591,0.8185
