@relation 'AirQualityUCI all numeric random- custer-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-unset-class-temporarily'

@attribute Date numeric
@attribute Time numeric
@attribute CO(GT) numeric
@attribute PT08S1(CO) numeric
@attribute C6H6(GT) numeric
@attribute PT08S2(NMHC) numeric
@attribute NOx(GT) numeric
@attribute PT08S3(NOx) numeric
@attribute NO2(GT) numeric
@attribute PT08S4(NO2) numeric
@attribute PT08S5(O3) numeric
@attribute T numeric
@attribute RH numeric
@attribute AH numeric

@data
0.636364,0.73913,?,0.32448,0.185535,0.36319,?,0.141889,?,0.521583,0.242398,0.750538,0.255346,0.623858
0.454545,0.434783,0.127119,0.321608,0.133648,0.294921,0.072444,0.220669,0.284024,0.532824,0.337967,0.670968,0.335849,0.613986
0.636364,0.956522,0.135593,0.361809,0.158805,0.328236,0.044008,0.150784,0.183432,0.571942,0.348827,0.675269,0.520755,0.911157
0.454545,0.391304,0.271186,0.382627,0.232704,0.416166,0.148274,0.165608,0.372781,0.619604,0.421373,0.55914,0.469182,0.584225
0.090909,0,0.127119,0.215363,0.058176,0.171491,0.144211,0.250318,0.43787,0.147032,0.207211,0.126882,0.513208,0.110834
1,0.652174,0.262712,0.432879,0.226415,0.409612,0.342586,0.13003,0.491124,0.32509,0.539531,0.417204,0.271698,0.207594
0.363636,0.130435,0.101695,0.259871,0.097484,0.241398,?,0.265989,?,0.484712,0.311468,0.378495,0.803774,0.540243
0.090909,0.956522,0.084746,0.241924,0.04717,0.15183,0.086662,0.243964,0.304734,0.186151,0.181147,0.206452,0.568553,0.190881
0.454545,0.782609,0.228814,0.234027,0.224843,0.406881,0.113744,0.207963,0.369822,0.490558,0.292354,0.748387,0.079245,0.283536
0.090909,0.695652,0.245763,0.450108,0.207547,0.388312,0.341909,0.091063,0.784024,0.365558,0.524327,0.204301,0.774843,0.271319
0.272727,0.304348,?,0.192391,0.036164,0.125068,?,0.399831,?,0.386691,0.123805,0.346237,0.793711,0.47818
1,0.652174,0.245763,0.396267,0.213836,0.395958,0.285037,0.21008,0.357988,0.404227,0.447003,0.453763,0.47673,0.416557
0.545455,0.391304,0.237288,0.451543,0.227987,0.412343,0.1652,0.129606,0.390533,0.660971,0.525195,0.647312,0.47673,0.777257
0.545455,0.652174,0.042373,0.134961,0.06761,0.19006,0.025051,0.33291,0.153846,0.347122,0.094266,0.752688,0.114465,0.353516
0.181818,0.913043,0.271186,0.513999,0.193396,0.371928,0.458362,0.09064,0.647929,0.359263,0.491746,0.298925,0.589937,0.292479
0,0.956522,0.127119,0.361091,0.113208,0.265429,0.159106,0.15756,0.369822,0.315198,0.426586,0.298925,0.733333,0.369741
0.181818,0.478261,0.338983,0.642498,0.251572,0.437466,0.199052,0.205845,0.461538,0.552608,0.591659,0.376344,0.415094,0.27386
0.181818,0.217391,0.016949,0.142139,0.009434,0.048607,0.008802,0.620076,0.06213,0.326888,0.068202,0.395699,0.562264,0.400821
0.909091,0.73913,0.330508,0.618808,0.397799,0.576734,0.729858,0.058026,0.58284,0.461331,0.80669,0.223656,0.545912,0.195915
0.909091,0.608696,?,0.55061,0.382075,0.56308,0.327691,0.066074,0.405325,0.604766,0.593831,0.597849,0.422642,0.599863
0.909091,0.347826,0.194915,0.427136,0.253145,0.438012,0.494922,0.128335,0.680473,0.335432,0.560382,0.146237,0.586164,0.148316
0.909091,0.217391,0.033898,0.147164,0.042453,0.140907,0.054841,0.292249,0.12426,0.279227,0.212424,0.406452,0.695597,0.514441
0.909091,0.73913,0.127119,0.262742,0.125786,0.28509,?,0.209233,?,0.292266,0.304952,0.277419,0.623899,0.286273
0.545455,0.478261,0.135593,0.254846,0.149371,0.317313,0.099526,0.214316,0.399408,0.447392,0.245439,0.748387,0.137107,0.393637
1,0.73913,0.186441,0.347452,0.128931,0.288913,0.299255,0.171961,0.349112,0.36196,0.332754,0.313978,0.945912,0.513366
0,0.173913,?,0.087581,0.003145,0.015838,0.017603,0.490894,0.076923,0.079137,0.045613,0.135484,0.415094,0.08425
0.181818,0.608696,0.118644,0.241924,0.084906,0.222283,0.068382,0.342651,0.266272,0.322392,0.1351,0.425806,0.221384,0.175878
