@relation bank-data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R1-weka.filters.unsupervised.attribute.Discretize-F-B4-M-1.0-R1-weka.filters.unsupervised.attribute.Discretize-F-B4-M-1.0-R4-weka.filters.unsupervised.attribute.Discretize-F-B4-M-1.0-R4

@attribute age {'\'(-inf-27.8]\'','\'(27.8-37.6]\'','\'(37.6-47.4]\'','\'(47.4-57.2]\'','\'(57.2-inf)\''}
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income {'\'(-inf-17258.9]\'','\'(17258.9-24925.3]\'','\'(24925.3-36179.15]\'','\'(36179.15-inf)\''}
@attribute married {NO,YES}
@attribute children {0,1,2,3}
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
'\'(47.4-57.2]\'',FEMALE,INNER_CITY,'\'(17258.9-24925.3]\'',NO,1,NO,NO,NO,NO,YES
'\'(37.6-47.4]\'',MALE,TOWN,'\'(24925.3-36179.15]\'',YES,3,YES,NO,YES,YES,NO
'\'(47.4-57.2]\'',FEMALE,INNER_CITY,'\'(-inf-17258.9]\'',YES,0,YES,YES,YES,NO,NO
'\'(-inf-27.8]\'',FEMALE,TOWN,'\'(17258.9-24925.3]\'',YES,3,NO,NO,YES,NO,NO
'\'(47.4-57.2]\'',FEMALE,RURAL,'\'(36179.15-inf)\'',YES,0,NO,YES,NO,NO,NO
'\'(47.4-57.2]\'',FEMALE,TOWN,'\'(36179.15-inf)\'',YES,2,NO,YES,YES,NO,YES
'\'(-inf-27.8]\'',MALE,RURAL,'\'(-inf-17258.9]\'',NO,0,NO,NO,YES,NO,YES
'\'(57.2-inf)\'',MALE,TOWN,'\'(24925.3-36179.15]\'',YES,0,YES,YES,YES,NO,NO
'\'(27.8-37.6]\'',FEMALE,SUBURBAN,'\'(24925.3-36179.15]\'',YES,2,YES,NO,NO,NO,NO
'\'(47.4-57.2]\'',MALE,TOWN,'\'(17258.9-24925.3]\'',YES,2,YES,YES,YES,NO,NO
