Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;WindSpeed;SolarNoonAngle
40179;0;33.7;22.5;9.5;1.7;27.14;79.25;1.666667;-15.4935593
40180;0;33.9;22.8;8.7;3.5;27.7;75.25;1;-15.4210242
40181;0;34.6;22.9;8.3;4.1;28.68;73;0;-15.34166747
40182;4.6;31.9;23.9;1.4;4;26.4;81.5;1;-15.25551264
40183;31.8;29.1;23.3;0.3;1.4;24.98;88.5;1;-15.16258522
40184;11.9;31.5;22.7;2.5;1.3;26.34;86.5;0;-15.06291275
40185;0;33.1;22.7;9.2;1.7;27.42;82.5;1;-14.95652478
40186;0;33.7;23.8;8.2;2.9;27.52;80.25;0;-14.84345282
40187;39.3;29.7;23.5;0;3.2;25.68;94.5;0;-14.72373038
40188;16.8;30.7;23;1.4;1.1;26.42;88;1.666667;-14.59739293
40189;1;32.7;22.6;2;1.4;26.4;87.5;0;-14.46447792
40190;0.2;33.4;23.6;2.1;2;27.26;84;0;-14.32502473
40191;0;33.1;23.3;4.6;2.2;27.04;86.75;1;-14.17907468
40192;0;33.6;24;4.4;2.6;27.7;76.5;1.333333;-14.02667102
40193;0;30.6;23.8;1.1;3.4;26.06;86.25;1;-13.86785892
40194;0;31.5;23.9;1.1;1.9;26.22;86.5;1;-13.70268542
40195;0;32.7;23.7;3.1;1.7;26.82;84;3.333333;-13.53119948
40196;5.2;33;23.4;4.9;2.2;27;86.75;1;-13.3534519
40197;0;33.1;23.7;2.4;2.3;26.6;88.5;1;-13.16949537
40198;10.1;30.7;23.5;0.9;1.8;25.56;90;1;-12.97938439
40199;1.7;33.4;23.2;2;1;26.02;90.75;1;-12.78317529
40200;60.8;28.7;22.9;0;1.4;25.46;88.5;0;-12.58092621
40201;1.6;31;22.9;0;1;25.52;91.75;0;-12.37269709
40202;0;33.1;23.5;2.1;1.1;26.78;87;0;-12.15854964
40203;1.8;32;23.8;1.1;1.7;25.9;87.5;1.333333;-11.93854729
40204;0;30.2;22.7;0.2;1.4;25.68;90;0.666667;-11.71275525
40205;0;32.8;22.9;2.5;1.4;26.86;81.5;0;-11.48124043
40206;1.2;33.6;23.5;5.4;1.9;27.24;83.5;0;-11.24407143
40207;0;31.8;24.3;2;2.2;27.2;87.5;0;-11.00131851
40208;0;32;23;2.3;2;25.92;90;0;-10.75305363
40209;17.3;34.3;23.8;3.5;1.4;27.38;85.75;0;-10.49935034
40210;0.9;30.1;23.9;0.4;2.1;26.46;94.25;0;-10.24028382
40211;9.5;32;24.3;2.4;1.1;26.4;88.25;1;-9.975930844
40212;2.6;31.5;23;0.9;1.6;26.08;93;0;-9.706369738
40213;16.4;29.7;23.7;0;1.2;26.18;91;0;-9.431680381
40214;22.2;30.8;23.9;0.2;0.8;25.56;94;0;-9.151944169
40215;48.3;29.6;22.1;0.4;0.8;24.08;93;2.333333;-8.867243995
40216;22.8;26;21.5;0;0.7;23.88;94.25;0;-8.57766422
40217;0;33.5;22.5;7.6;4.9;27.02;83.25;1;-8.283290655
40218;1.3;28.9;23.2;0;2.3;25.52;94.75;0.666667;-7.984210528
40219;0;32.9;23.5;4.1;1;27.56;79.75;0;-7.680512463
40220;0;34.5;23.7;7.1;2.5;26.6;87.75;0;-7.372286453
40221;1.2;33.9;23.7;4.6;2.4;28.22;81.75;1;-7.059623831
40222;0;32.9;23.8;2.5;2.4;27.44;84.75;0;-6.742617246
40223;0.7;34.7;23.7;5.3;1.8;27.34;85.75;0;-6.421360634
40224;11.3;33;24;2.6;2.3;28.12;84.75;0;-6.09594919
40225;0;33;23.9;1.1;2.5;27.36;85.5;0;-5.766479341
40226;0.8;30.5;23.7;0.4;1.8;25.48;90.5;1;-5.433048715
40227;4.2;33.7;23.8;2.4;1.3;28.18;83;0;-5.095756116
40228;0;33.9;23.7;4.6;1.8;28.38;83.75;0;-4.754701491
40229;0.2;33.5;24.5;2.7;2.1;27.82;85;1;-4.4099859
40230;5.8;33.5;23.6;0;1.9;27.16;92;0.333333;-4.061711492
40231;2.3;27.5;23.7;0.4;0.9;25.22;94.5;1;-3.709981467
40232;8.6;32.3;22.5;3.1;0.5;26.02;89.25;1;-3.35490005
40233;0;32;22.4;1.1;1.6;25.06;91;1;-2.99657246
40234;11;32.2;21.7;4.6;1.1;25.86;88.25;1;-2.635104877
40235;0;34.7;22;5.5;1.9;26.84;83.75;0;-2.270604411
40236;0;33;22.9;3;2.1;27.12;84.25;1;-1.903179073
40237;0;32.1;24.3;0.9;2.1;26.62;89.5;0;-1.532937737
40238;7;32.3;23.9;1.9;1.6;27.42;87.25;0.666667;-1.159990115
40239;0.3;32.6;24.1;2.3;1.6;26.36;89.5;1;-0.784446718
40240;2.3;33.7;24;3.7;1.3;26.8;92.5;1;-0.406418829
40241;1.9;33.7;24.1;3.3;1.4;27.82;85;0;-0.026018466
40242;0;33.8;24.1;2.5;1.9;27.08;88;0;0.356641652
40243;5;33.8;23.2;5.5;1.4;27.72;85.25;0;0.741448133
40244;0;33.5;23;3.8;2.2;26.5;87.75;0;1.128286951
40245;4.8;34.9;24.1;8.7;1.2;28.82;71.5;2;1.517043477
40246;2.2;34.7;24.7;5;2.4;27.62;87.25;1;1.907602514
40247;2.7;31.8;24.2;4.8;1.9;27.08;85.75;1;2.299848332
40248;24.8;31.1;23.7;1.2;2.3;26.32;92;0;2.693664699
40249;2.5;31.6;23.5;3.3;0.9;26.1;90.75;0;3.088934919
40250;2.4;33.2;23.8;2.8;1.4;27.34;83;1;3.485541865
40251;0.6;34.1;24.4;5.4;1.6;28.2;82.5;1;3.883368013
40252;0;33.8;24.1;3.9;2.3;26.68;87;1;4.28229548
40253;1.7;32.9;23.9;4.4;1.9;26.42;90;1;4.682206054
40254;21.1;33;23.5;3.2;1.9;26.88;83.75;1;5.082981234
40255;11.2;31.3;23.2;1.7;1.6;25.76;94.25;1;5.484502261
40256;3.2;33.2;23.7;3.8;1;27.4;86.75;0.333333;5.886650155
40257;0;31.5;22.1;2.2;1.8;25.88;92.25;2.333333;6.289305752
40258;0;33.8;23.6;7.7;1.3;27.24;84;1;6.692349736
40259;0;33.4;23.5;4.5;2.8;26.26;88.25;0.333333;7.095662676
40260;16.1;33.7;24;4.9;1.9;26.48;91.75;0;7.499125062
40261;6;32.7;23.4;3.2;1.7;26.24;89.75;1;7.90261734
40262;1;27.7;22.6;0;1.3;24;95;0;8.306019946
40263;7.2;31.4;21.9;2.2;0.7;25.8;94.25;0;8.709213342
40264;0;33.1;22.9;5.3;1.4;27.16;85.25;1;9.112078055
40265;0;30.9;23.3;1;2;26.14;91.5;0;9.514494707
40266;0.2;32.3;23.5;3.3;1.3;27.18;87.25;1;9.916344052
40267;0;31.1;24.5;1;1.9;26.44;89;1;10.31750701
40268;10;26.6;23.3;0;1.4;24.26;97.5;0;10.71786472
40269;105.3;33.1;22.7;5.4;0.4;27.06;86.5;1;11.11729854
40270;0;33.4;22.8;6.6;2;27.24;84.5;0;11.5156901
40271;0.6;33.9;23.8;6.4;2;26.96;87.75;0;11.91292136
40272;0.5;31.9;23.9;2.9;2.2;27.3;90.25;0;12.30887461
40273;0.6;31.6;24.1;4.8;1.3;26.86;90.25;1;12.70343252
40274;21.4;27.2;23.5;0;1.8;24.68;92.25;2.666667;13.09647817
40275;1.3;28;23;2.6;1.2;24.94;86.75;1;13.4878951
40276;0;31.4;21.7;6.7;1.9;25.82;81;2.666667;13.87756731
40277;0;31.9;21.8;7.5;3.5;25.88;82.75;2;14.26537935
40278;0;33.4;22;9.9;3.3;26.56;78.25;0.333333;14.65121629
40279;0;34.1;21.3;10.2;3.3;26.56;80.75;0;15.0349638
40280;0;33.6;20.8;8.4;3.5;26.5;82;0;15.41650818
40281;0;34.7;22.5;7.4;3.2;27.46;81.75;1;15.79573635
40282;0;33;23.3;1.5;3.2;26.36;89.25;1;16.17253595
40283;28.8;32.5;23;4.1;1.5;26.02;87.5;0;16.54679532
40284;0;34.1;22.8;6.1;1.7;26.56;83.75;2;16.91840357
40285;0;32.7;23;2;2.4;26.06;91;0;17.28725057
40286;26.2;32.7;23.4;3.9;1.1;27.36;86.5;1;17.65322702
40287;15.6;34.6;23.7;4.6;1.8;27.6;87;0;18.01622449
40288;1.1;33.5;23.4;5.4;2.1;27.64;87.5;1;18.37613541
40289;0.8;36.1;23.9;8.5;2.2;28.5;83;1;18.73285313
40290;0;35.1;24.5;9.4;2.7;28.34;87.25;0.666667;19.08627194
40291;0;36.1;24.6;6.6;2.4;27.96;87.75;0;19.43628712
40292;0;34.5;24.2;6.8;2;28.02;85;0;19.78279496
40293;0.3;32.2;24.8;3;2;28.04;85.5;1;20.12569277
40294;1.2;32.3;24.7;4.9;1.7;27.5;87.25;1;20.46487894
40295;0.4;33.6;24;7;2;27.86;86.5;0;20.80025298
40296;0;32.1;24;0.6;3;27.14;91.5;0;21.13171549
40297;0.8;31.2;23.7;2.7;0.2;26.64;88;1;21.45916827
