Date;Precipitation;MaxTemp;MinTemp;Insolation;Evaporation;AvgTemp;AvgHumidity;AvgWindSpeed;SolarNoonAngle
40179;1.4;27.1;22.3;0.1;3.9;24.2;91;1.433333;-16.0635593
40180;16.7;26.5;21;0.1;0.6;23.58;85.25;0.833333;-15.9910242
40181;0;30.6;21.1;4.3;1;25.26;77.75;1.433333;-15.91166747
40182;18.8;32.5;22.5;6.9;2;26.76;65.25;1.033333;-15.82551264
40183;0;34.6;22.8;8.7;4.6;28.64;52.75;0.966667;-15.73258522
40184;0;34.8;24.7;8.1;6.4;28.22;55.25;1.466667;-15.63291275
40185;1;33.3;23.4;4.5;5.3;27.78;60;1.133333;-15.52652478
40186;0;28.5;23.4;0;5.2;25.22;83.5;0.866667;-15.41345282
40187;6.8;26;22.3;0;0.8;24.26;92.75;0.8;-15.29373038
40188;4.3;32.6;22.7;6.9;0.8;25.42;71.5;1.233333;-15.16739293
40189;0;33.2;20.4;9;3.2;26.4;59.75;0.833333;-15.03447792
40190;0;35;21.7;9.7;4.2;27.74;49.25;1.2;-14.89502473
40191;0;31;22.3;2.7;7.4;25.46;73.25;1.2;-14.74907468
40192;4;34.1;22.7;5.1;3.7;25.76;75.25;0.866667;-14.59667102
40193;1.3;34.8;22.3;9.9;3.5;27.98;52.25;2.033333;-14.43785892
40194;0;35;22.8;10.4;6.8;29.24;40;1.766667;-14.27268542
40195;0;35.2;22.4;11;7.9;28.64;44;2.433333;-14.10119948
40196;0;34;21.8;7.2;9.2;27.76;51.5;1.433333;-13.9234519
40197;0;35.3;23.1;10.2;7.2;29.28;48.5;1.3;-13.73949537
40198;0;36;23.6;11.8;9.3;29.44;43.25;1.866667;-13.54938439
40199;0;36.1;23.1;9.3;10.2;28.92;52;2.3;-13.35317529
40200;0;36.5;21.8;10.9;9.2;29.02;42.75;1.866667;-13.15092621
40201;0;36.4;21.8;11;9.9;29.76;35.75;2.3;-12.94269709
40202;0;36.8;23.8;10.6;13;30.8;35.25;2.3;-12.72854964
40203;0;36.6;23.5;10.3;13.1;29.82;46.25;2.5;-12.50854729
40204;0.3;33.8;23.6;4.8;10;26.96;65;1.033333;-12.28275525
40205;0;35.2;23.1;4.2;5.5;27.9;57;2;-12.05124043
40206;24;34.5;22.7;6;7;26.96;73.25;0.866667;-11.81407143
40207;0.7;33.4;23.3;6.9;4;27.74;66.75;1;-11.57131851
40208;0;33.5;23.8;9.2;6.4;28.7;48.75;1.4;-11.32305363
40209;0;34.4;22.3;9.6;6.8;29.5;43.25;1.966667;-11.06935034
